,title,related_title
0,Do schools kill creativity?,Bring on the learning revolution!
1,Do schools kill creativity?,How to escape education's death valley
2,Do schools kill creativity?,"How to fix a broken school? Lead fearlessly, love hard"
3,Do schools kill creativity?,Education innovation in the slums
4,Do schools kill creativity?,A short intro to the Studio School
5,Do schools kill creativity?,How America's public schools keep kids in poverty
6,Averting the climate crisis,New thinking on the climate crisis
7,Averting the climate crisis,The business logic of sustainability
8,Averting the climate crisis,The state of the climate — and what we might do about it
9,Averting the climate crisis,A climate solution where all sides can win
10,Averting the climate crisis,Climate change is happening. Here's how we adapt
11,Averting the climate crisis,Why climate change is a threat to human rights
12,Simplicity sells,10 top time-saving tech tips
13,Simplicity sells,The first secret of design is ... noticing
14,Simplicity sells,Designing for simplicity
15,Simplicity sells,Meet the inventor of the electronic spreadsheet
16,Simplicity sells,Design and discovery
17,Simplicity sells,How the Internet will (one day) transform government
18,Greening the ghetto,3 stories of local eco-entrepreneurship
19,Greening the ghetto,A new vision for rebuilding Detroit
20,Greening the ghetto,A park underneath the hustle and bustle of New York City
21,Greening the ghetto,Who belongs in a city?
22,Greening the ghetto,A practical way to help the homeless find work and safety
23,Greening the ghetto,7 principles for building better cities
24,The best stats you've ever seen,Own your body's data
25,The best stats you've ever seen,A visual history of human knowledge
26,The best stats you've ever seen,Let my dataset change your mindset
27,The best stats you've ever seen,The good news of the decade? We're winning the war against child mortality
28,The best stats you've ever seen,New insights on poverty
29,The best stats you've ever seen,"Global population growth, box by box"
30,Why we do what we do,My stroke of insight
31,Why we do what we do,8 secrets of success
32,Why we do what we do,The surprising science of happiness
33,Why we do what we do,The social animal
34,Why we do what we do,There's more to life than being happy
35,Why we do what we do,This app knows how you feel -- from the look on your face
36,Letting go of God,Why people believe weird things
37,Letting go of God,Let's teach religion -- all religion -- in schools
38,Letting go of God,"It's time for ""The Talk"""
39,Letting go of God,Why would God create a tsunami?
40,Letting go of God,A life of purpose
41,Letting go of God,On technology and faith
42,Behind the design of Seattle's library,Building a theater that remakes itself
43,Behind the design of Seattle's library,How to reinvent the apartment building
44,Behind the design of Seattle's library,Why the buildings of the future will be shaped by ... you
45,Behind the design of Seattle's library,The Blur Building and other tech-empowered architecture
46,Behind the design of Seattle's library,My days as a young rebel
47,Behind the design of Seattle's library,How architecture can connect us
48,Let's teach religion -- all religion -- in schools,A life of purpose
49,Let's teach religion -- all religion -- in schools,Is religion good or bad? (This is a trick question)
50,Let's teach religion -- all religion -- in schools,My wish: The Charter for Compassion
51,Let's teach religion -- all religion -- in schools,Militant atheism
52,Let's teach religion -- all religion -- in schools,My year of living biblically
53,Let's teach religion -- all religion -- in schools,Atheism 2.0
54,A life of purpose,Let's teach religion -- all religion -- in schools
55,A life of purpose,"Lose your ego, find your compassion"
56,A life of purpose,Is religion good or bad? (This is a trick question)
57,A life of purpose,My year of living biblically
58,A life of purpose,Letting go of God
59,A life of purpose,On technology and faith
60,My wish: A call for open-source architecture,Architecture for the people by the people
61,My wish: A call for open-source architecture,Why the buildings of the future will be shaped by ... you
62,My wish: A call for open-source architecture,How architecture can connect us
63,My wish: A call for open-source architecture,Designers -- think big!
64,My wish: A call for open-source architecture,Architecture that's built to heal
65,My wish: A call for open-source architecture,Designing objects that tell stories
66,My wish: A global day of film,How virtual reality can create the ultimate empathy machine
67,My wish: A global day of film,The shared wonder of film
68,My wish: A global day of film,We are the stories we tell ourselves
69,My wish: A global day of film,"A tour of Nollywood, Nigeria's booming film industry"
70,My wish: A global day of film,My journey into movies that matter
71,My wish: A global day of film,What happens when you lose everything
72,My wish: Help me stop pandemics,How we'll stop polio for good
